UTC_1Hz,Date,BrakeSwitch,CrankcasePres,TrOutShaftSp,AuxHeatModeReq,EngSpeed,FuelRate,IntManfTemp,PTOGovernorSetSwtchEng,ASROffRoadSwtchTire,PTOResSwtch_1587,InjCtlPres,Avg_FuelEco_1587,SeatBeltSwtch,ProgShftDisable,TractionCtrlOverrideSwtch_Tires,ParkBrkSwtchStatEng,TrSelGr,BarPres_Eng_1587,ClutchSwtch,EngOilPres,RetEnableBrkAsstSwtchRetExhaust,EngPctTorq,Cylinder6EngRetStat_1587,EngCoolantTemp_1587,PTOGovernorEnableSwtch,TransCurGear,PTOStatClutchSwtch_1587,RelativeSpdFrontAxleLftWheel,RelativeSpdRearAxle1RghtWheel,PTOSetSpeed,OpSeatDirSwtch,RoadSpeedLimStat_1587,IdleShutDwnTimerStatEngShtDwn_1587,Cylinder2EngRetStat_1587,PTOGovernorState,TransOptShaftSpeedTrans_1587,BoostPres,EngLoad_1587,FrontAxleSpd,EngRemPTOGovernorPreProgSpdCtrlSwtch,VehLimSpdGovDecSwtch,TransDrivEng,TrRgSelec,InstFuelEco_1587,FuelTemp,EngRetLvlSwtch_1587,TransTorqConvLockupEngaged,ABS_OffRoadSwtch_1587,ATCEngCtl_1587,ReqEngZoneHeating,PTOGovernorAccelSwtch,EngDmdPctTorq,ABS_BrkCtl_1587,PTOGovernorResSwtch,AutoGearShiftEnabSwtch,ATCBrkCtl_1587,RelativeSpdFrontAxleRghtWheel,IdleShutDwnTimeStat_1587,BatMainSwtchHldReq,ATCsnowMudSwtch_1587,ATCStatusLamp_1587,PTOSetSwitch_1587,IdleShutDwnTimerStatTimerOverride_1587,PTOSpeed,BoostPres_1587,VDCBrkCtl_1587,PctEngLoad,EngRetarderStat_1587,NomFrict-PtcTorq,PTOStatAccelSwtch_1587,IdleShutDwnTimerStatDriverAlertMode_1587,ASRHillHolderSwtchTire,PTOSetSpeed_1587,INJCTRLPRES_1587,PTOStatBrkSwtch_1587,EngMomOvrspdEn,ABS_RetCont_1587,AccelPedalPos,BatPotVEng,PTOMode_1587,EngCoolantTemp,RelativeSpdRearAxle2LftWheel,RetEnableShftAsstSwtchRetExhaust,CoolantLevel,EngRemPTOGovernorVarSpdCtrlSwtch,VehLimSpdGovIncSwtch,EngOilTemp,TranActGearRato,TrRgAttai_1587,ATCspinOutDetection_1587,PTOCtlSwt_1587,EngSpeed_1587,INTMANFTEMP_1587,AuxHeatCoolPumpReq,TrRgAttai,RelativeSpdRearAxle1LftWheel,EngDesiredOpSpd,TransOilTemp_1587,EngOilPres_1587,EngAutoStartEnabSwtch,AccelPedalPos_1587,InstFuelEco,ReqPctFanSpdEng,Cylinder4EngRetStat_1587,EngPctLdAtCurSpd,Act_RetardPctTorqExh,VehSpeedEng,VehLimSpdGovEnabSwtch,FuelRate_1587,EngRetSwtch_1587,PTOGovernorCoastDecelSwtch,EngDesOpSpdAsyAdj,IdleShutDwnTimerStatTimerFunc_1587,TrRgSelec_1587,RelativeSpdRearAxle2RghtWheel,BatPotVEng_1587,TrShInProg,InpSftSp,VEHSPEEDBRAKES_1587,TransOilTemp,Cylinder8EngRetStat_1587,VehSpeedEng_1587,Ave_FuelEco,Cylinder3EngRetStat_1587,VDCEngCtrl_1587,PTOCoastSwtch_1587,ABS_OffRoadSwtchStatTires,PrkBrkSwtchStat_1587,AltPotV,BatPotVSwtAlt,AltSpeed,EngAltWindingTemp,IntManfTemp_1587,InjCtrlPres_1587,VehSpeedBrakes_1587
1.55551E+12,20190417,0,,0,15,699.75,0.9906452,77,0,0,0,1546.312,,3,1,3,3,0,,3,59.1753,3,0,0,120,0,0,0,0.00055,0.00055,,3,0,0,0,0,0,0,12.5,0,0,3,0,20000,0,,15,0,3,3,3,0,15,0,0,3,3,0.00055,0,3,3,3,0,0,,0,3,15,0,131,0,0,3,0,,0,3,0,0,27.6,0,120.2,,3,,0,3,,0,0,0,0,698,,3,20035,0.00055,700,83.75,59.04484,3,2.8,0,0,0,12,0,0,3,1,3,0,,0,0,,27.55,0,654.75,,83.75,0,0,3.4547105000000005,0,3,0,0,0,28.05,,1688,75,77,1500.9233,0
1.5696E+12,20190927,0,,519.75,15,1156.25,0,95,0,0,0,2803.9640000000004,,3,1,3,3,3,,3,45.2517,3,0,0,194,0,3,0,0.00055,0.00055,,3,0,0,0,0,530,0.58016,1.5,8,0,3,1,14112,255.9961,,15,1,3,3,3,0,0,0,0,3,3,-0.03829,0,3,3,3,0,0,,0.37506,3,0,1,132,0,0,3,0,,0,3,0,0,27.55,0,194,,3,,0,3,,2.237,0,0,0,1181,,3,13388,0.00055,700,116.25,43.03268,3,2.8,255.98854,0,0,0,-45,9.16596,3,0,3,0,,0,0,,27.55,0,1163.25,,115.53125,0,9.0036,3.4501166,0,3,0,0,0,28.05,,2688,108,95,2409.183,8.0032
1.54325E+12,20181126,0,,0,15,0,0,73.4,0,0,0,265.454,,3,1,3,3,0,,3,0,3,0,0,39,0,0,0,0.00055,0.00055,,3,0,0,0,0,0,0,0,0,0,3,0,20000,0,,15,0,3,3,3,0,0,0,0,3,3,0.00055,0,3,3,3,0,0,,0,3,0,0,136,0,0,3,0,,0,3,0,0,22,0,39.2,,3,,0,3,,0,0,0,0,0,,3,20035,0.00055,700,39,0,3,2.8,0,100,0,0,0,0,3,0,3,0,,0,0,,22,0,0,,38.975,0,0,3.4776807,0,3,0,0,0,,,,,73,0,0
1.57176E+12,20191022,0,,0,15,693,0.80572474,78.8,0,0,0,1534.9920000000004,,3,1,3,3,0,,3,36.54945,3,0,0,156,0,0,0,0.00055,0.00055,,3,0,0,0,0,0,0,8,0,0,3,0,20000,0,,15,0,3,3,3,0,11,0,0,3,3,0.00055,0,3,3,3,0,0,,0,3,11,0,130,0,0,3,0,,0,3,0,0,27.7,0,156.2,,3,,0,3,,0,0,0,0,694,,3,20035,0.00055,700,103.5,36.52774,3,2.8,0,0,0,7,0,0,3,0.8125,3,0,,0,0,,27.7,0,659.25,,103.325,0,0,3.4455225,0,3,0,0,0,28.2,,1667,82,78,1530.3866,0
1.51811E+12,20180208,0,,1682.5,15,1514.875,5.8646197,75.2,0,0,,3453.732,,3,1,3,3,6,,3,44.67155,3,37,0,185,0,6,,-0.07713,0.11707,,3,,,0,0,1682,4.93136,64.5,26,0,3,1,14112,4.7617188,,15,1,3,3,3,0,41,0,0,3,3,0.03939,,3,3,3,,,,5.12582,3,41,0,133,,,3,0,,,3,0,38.4,27.55,,185,,3,,0,3,,0.899,0,0,,1512.25,,3,13900,0.07823,1495.875,112.5,44.53382,3,40.4,4.9385824000000005,0,0,44,0,28.863540000000004,3,6.09375,3,0,,,0,,27.55,0,1515.75,,112.325,0,29.0116,3.670630000000001,0,3,,0,,28.2,,3656,82,75,3527.6516,26.0104
1.58013E+12,20200127,0,,0,15,702.375,1.6246581,57.2,0,0,,1944.21,,3,1,3,3,0,,3,66.1371,3,0,0,87,0,0,,0.00055,0.00055,,3,,,0,0,0,0,28.5,0,0,3,0,20000,0,,15,0,3,3,3,0,25,0,0,3,3,0.00055,,3,3,3,,,,0,3,25,0,133,,,3,0,,,3,0,0,27.45,,87.8,,3,,0,3,,0,0,0,,697,,3,20035,0.00055,700,67.25,65.54978,3,2.8,0,0,0,28,0,0,3,1.625,3,0,,,0,,27.5,0,648.75,,66.9875,0,0,3.3306718,0,3,,0,,28.05,,1700,63,57,1969.5016,0
1.46835E+12,20160712,0,,82.75,15,831.25,1.9020388,98.6,0,0,,2938.672,3.4765625,3,1,3,3,2,14.12726,3,55.11425,3,8,0,132,0,2,,0.11707,-0.15481,,3,,,0,0,82.75,0.58016,34.5,1,0,3,1,14112,0.8515625,,15,0,3,3,3,0,30,0,0,3,3,-0.15481,,3,3,3,,,,0.6251,3,30,0,132,,,3,0,2520.2368,,3,0,11.6,27.55,,132.8,,3,,0,3,,4.184,0,0,,816,98,3,12867,-0.11597,877.875,104,54.54142,3,14.4,0.7809851,0,0,40,0,1.46772,3,1.90625,3,0,,,0,,27.55,0,346.75,1.5006,104.1125,0,1.5006,3.4730866,0,3,,0,,,,,,,,
1.46827E+12,20160711,0,,0,15,696.625,0.7132645000000001,114.8,0,0,0,1452.922,,3,1,3,3,0,,3,26.6869,3,0,0,192,0,0,0,0.00055,0.00055,,3,0,0,0,0,0,0,5.5,0,0,3,0,20000,0,,15,0,3,3,3,0,8,0,0,3,3,0.00055,0,3,3,3,0,0,,0.12502,3,8,0,129,0,0,3,0,1460.1282,0,3,0,0,27.65,0,192.2,,3,,0,3,,0,0,0,0,699.25,114,3,20035,0.00055,700,157,26.52014,3,2.8,0,0,0,5,0,0,3,0.71875,3,0,,0,0,,27.65,0,682.75,0,157.04375,0,0,3.4960568,0,3,0,0,0,,,,,,,
1.57559E+12,20191205,0,,0,15,700.75,0.6472215,98.6,0,0,0,1464.2420000000004,3.3789062000000007,3,1,3,3,0,14.12726,3,23.78615,3,0,0,,0,0,0,0.00055,0.00055,,3,0,0,0,0,0,0,5,0,0,3,0,20000,0,,15,0,3,3,3,0,7,0,0,3,3,0.00055,0,3,3,3,0,0,,,3,7,0,129,0,0,3,0,,0,3,0,0,27.6,0,186.8,,3,,0,3,,0,0,0,0,702.75,,3,20035,0.00055,700,136.75,,3,2.8,0,0,0,4,0,0,3,0.65625,3,0,,0,0,,,0,681.75,,136.79375,0,0,3.376612,0,3,0,0,0,28.05,,1723,104,,,0
1.53615E+12,20180905,0,,136.75,15,824,1.5850323,102.2,0,0,0,2500.022,,3,1,3,3,2,,3,26.10675,3,0,0,183,0,2,0,-0.27133,-0.03829,,3,0,0,0,0,133.75,0.87024,35,2,0,3,1,14112,1.6757812,,15,0,3,3,3,0,21,0,0,3,3,0.23359,0,3,3,3,0,0,,1.00016,3,21,0,130,0,0,3,0,,0,3,0,0,27.7,0,183.2,,3,,0,3,,4.184,0,0,0,801.25,,3,12867,-0.58205,700,154,26.52014,3,2.8,1.525218,0,0,26,0,2.4251400000000003,3,1.59375,3,0,,0,0,,27.7,0,575.25,,154.00626,0,2.0008,3.6109076,0,3,0,0,0,28.05,,2830,133,102,2520.2368,2.501
