Select,Keyword,channel_name
,RetEnableBrkAsstSwtchRetExhaust,J1939 - Retarder Enable - Brake Assist Switch (Retarder; Exhaust; Engine #1)
,RetEnableShftAsstSwtchRetExhaust,J1939 - Retarder Enable - Shift Assist Switch (Retarder; Exhaust; Engine #1)
,RoadSpeedLimStat_1587,J1587 - Road Speed Limit Status (Engine)
1,RtdEngPwr_1587,J1587 - Rated Engine Power (Engine)
1,RtdEngSpeed_1587,J1587 - Rated Engine Speed (Engine)
,SeatBeltSwtch,J1939 - Seat Belt Switch (Engine)
,SourceAddCtrlDeviceTransCtrl,J1939 - Source Address of Controlling Device for Transmission Control (Transmission)
,TotalFuelUsed,J1939 - Total Fuel Used (Engine)
,TotalFuelUsed_1587,J1587 - Total Fuel Used (Engine)
,TotalIdleFuelUsed_1587,J1587 - Total Idle Fuel Used (Engine)
1,TotEngHrs,J1939 - Total Engine Hours (Engine)
1,TotEngHrs_1587,J1587 - Total Engine Hours (Engine)
,TotEngRevs,J1939 - Engine Total Revolutions (Engine)
,TotEngRevs_1587,J1587 - Total Engine Revolutions (Engine)
1,TotIdlHours_1587,J1587 - Total Idle Hours (Engine)
,TotPTOHrs,J1939 - Total PTO Hours (Engine)
,TotPTOHrs_1587,J1587 - Total PTO Hours (Engine)
,TotVehDist,J1939 - Total Vehicle Distance (Engine)
,TotVehDist2,J1587 - Total Vehicle Distance (Engine)
1,TranActGearRato,J1939 - Transmission Actual Gear Ratio (Transmission)
1,TransCurGear,J1939 - Transmission Current Gear (Transmission)
1,TransDrivEng,J1939 - Transmission Driveline Engaged (Transmission)
1,TransOilTemp,J1939 - Transmission Oil Temperature (Transmission)
1,TransOilTemp_1587,J1587 - Transmission Oil Temperature (Transmission)
1,TransOptShaftSpeedTrans_1587,J1587 - Transmission Output Shaft Speed (Transmission)
1,TransTorqConvLockupEngaged,J1939 - Transmission Torque Converter Lockup Engaged (Transmission)
,TrOutShaftSp,J1939 - Transmission Output Shaft Speed (Transmission)
1,TrRgAttai,J1939 - Transmission Range Attained (Transmission)
1,TrRgAttai_1587,J1587 - Transmission Range Attained (Transmission)
,TrRgSelec,J1939 - Transmission Range Selected (Transmission)
,TrRgSelec_1587,J1587 - Transmission Range Selected (Transmission)
1,TrSelGr,J1939 - Transmission Selected Gear (Transmission)
,TrShInProg,J1939 - Transmission Shift in Process (Transmission)
,VDCEngCtrl_1587,J1587 - VDC Engine Control (Brakes)
,VehLimSpdGovDecSwtch,J1939 - Vehicle Limiting Speed Governor Decrement Switch (Engine)
,VehLimSpdGovEnabSwtch,J1939 - Vehicle Limiting Speed Governor Enable Switch (Engine)
,VehLimSpdGovIncSwtch,J1939 - Vehicle Limiting Speed Governor Increment Switch (Engine)
1,VehSpeedEng,J1939 - Vehicle Speed (Engine)
1,VehSpeedEng_1587,J1587 - Vehicle Speed (Engine)
